,이름,주민등록번호,생년월일,소득구분,총지급액,소득세율,소득세,실지급액,기업명,사업자등록번호,지급일,소득내역,업무시작일,업무종료일,납기준수,업무품질,만족도,전체평점
17,이지선,950506-2379841,1995.5.6,근로소득,3899384,0.14,599887.98,3299496.02,재기전자,237-66-68508,2021.7.5,급여,2021.6.6,2021.7.5,3,3,3,3
18,전세하,880209-2193854,1988.2.9,근로소득,3150336,0.06,189020.16,,희윤센터(주),141-46-09493,2020.6.8,급여,2020.5.9,2020.6.8,4,2,4,3.33
19,박성숙,921109-2848702,1992.11.9,사업소득,567204,0.033,18717.73,548486.27,제균 주식회사,620-41-88391,2019.9.25,,2019.7.25,2019.9.25,2,3,2,2.33
20,원미석,890314-2462232,1989.3.14,근로소득,3586592,0.06,,3371396.48,봉준앤탤런티넘 유한,147-59-04878,2019.7.18,정기급여,2019.6.19,2019.7.18,4,3,1,2.67
21,김성하,811110-2231374,1981.11.10,근로소득,4837410,0.14,677237.4,4160172.6,겅미 주식회사,917-32-59183,2017.9.19,임금,2017.8.20,2017.9.19,2,4,3,3
22,이기견,880213-2804007,1988.2.13,근로소득,4616200,0.14,646268,3969932,승하랩,386-33-01767,2021.5.19,급여,2021.4.20,,1,1,1,1
23,안미정,870202-1478983,1987.2.2,근로소득,2978872,0.06,178732.32,2978872,재준 코퍼레이션,654-21-17357,2019.6.16,임금,,2019.6.16,4,4,2,3.33
24,권하연,901120-1795184,1990.11.20,근로소득,4436547,0.14,621116.58,3815430.42,성천물산,697-73-16650,2020.1.27,월급여,,2020.1.27,3,2,1,2
25,권하연,901120-1795184,1990.11.20,근로소득,4436547,0.14,621116.58,3815430.42,성천물산,697-73-16650,2018.8.27,월급여,2018.7.28,2018.8.27,2,3,4,3
26,김예하,951107-1514920,1995.11.7,근로소득,3273190,0.06,196391.4,3076798.6,미하물산,798-64-21137,2021.2.17,정기급여,2021.1.18,2021.2.17,3,2,3,2.67
27,장준하,911217-2199008,1991.12.17,근로소득,3824948,0.14,535492.72,3824948,미규농장,287-94-40799,2019.7.2,급여,2019.6.3,2019.7.2,2,2,2,2
28,조슨은,930623-1518022,1993.6.23,근로소득,4802961,0.14,672414.54,4130546.46,승기컨설팅(주),311-11-33500,2020.11.28,월급여,2020.10.29,2020.11.28,4,4,1,3
29,임다연,891125-1619749,1989.11.25,근로소득,4813794,0.14,,4139862.84,이우시스템,629-55-49951,2020.9.6,정기급여,2020.8.7,2020.9.6,2,4,1,2.33
30,김종연,860507-2538233,1986.5.7,근로소득,3348508,0.06,200910.48,3147597.52,기번앤탤런티넘 유한,522-50-05625,2019.9.9,월급여,2019.8.10,2019.9.9,1,1,2,
31,김종연,860507-2538233,1986.5.7,근로소득,3348508,0.06,200910.48,3147597.52,기번앤탤런티넘 유한,522-50-05625,2019.8.9,월급여,2019.7.10,2019.8.9,4,2,1,2
32,이은지,,1989.5.28,근로소득,3789834,0.14,530576.76,3259257.24,벙준 유한회사,385-17-02190,2020.4.2,임금,2020.3.3,2020.4.2,3,1,2,2
33,유원기,930822-2736337,1993.8.22,사업소득,1866461,0.033,61593.21,1804867.79,(주) 재완,393-92-30827,2019.7.8,외주,2019.5.12,2019.7.8,1,3,3,2
